iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_cni_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,5.0,35000000.0,14.969300068134604,3.7005104848465304,340719091.39946806
62,,,304677.0,5.0,35000000.0,14.969300068134604,3.7005104848465304,340719091.39946806
,62,0,3313.0,0.625,11666666.666666666,16.928122102471022,4.127337806128436,48152274.40483175,43.7,143.6,12,183.1924253684002,2
,62,1,6331.0,0.625,11666666.666666666,14.763128318595399,3.6555856606219375,42648499.3739226,41.8,140.7,12,183.51980796816517,0
,62,2,46657.0,0.625,11666666.666666666,14.278081027792041,3.5498938559558857,41415428.31948533,38.5,140.7,12,183.73432244603094,1
,62,3,90560.0,0.625,11666666.666666666,13.332926651436654,3.343944717348047,39012688.369060546,36.2,139.0,12,183.8146724662094,0
,62,4,48780.0,0.625,11666666.666666666,13.037277426893748,3.279522751320148,38261098.76540172,35.8,136.7,12,183.23946611880635,1
,62,5,72745.0,0.625,11666666.666666666,14.30827268858282,3.5564726188421965,41492180.553158954,34.5,134.4,12,183.5553370705314,0
,62,6,16424.0,0.625,11666666.666666666,14.333506083483947,3.561970975591152,41556328.048563436,34.1,131.9,12,183.48435872681142,1
,62,7,19867.0,0.625,11666666.666666666,16.9392618757138,4.129765162718037,48180593.56504376,31.9,130.2,12,183.80015252764147,2

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_cni_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
63,,,304677.0,5.0,35000000.0,14.969300068134604,3.7005104848465304,340719091.39946806
,63,0,3313.0,0.625,11666666.666666666,16.928122102471022,4.127337806128436,48152274.40483175,43.7,143.6,12,183.1924253684002,2
,63,1,6331.0,0.625,11666666.666666666,14.763128318595399,3.6555856606219375,42648499.3739226,41.8,140.7,12,183.51980796816517,0
,63,2,46657.0,0.625,11666666.666666666,14.278081027792041,3.5498938559558857,41415428.31948533,38.5,140.7,12,183.73432244603094,1
,63,3,90560.0,0.625,11666666.666666666,13.332926651436654,3.343944717348047,39012688.369060546,36.2,139.0,12,183.8146724662094,0
,63,4,48780.0,0.625,11666666.666666666,13.037277426893748,3.279522751320148,38261098.76540172,35.8,136.7,12,183.23946611880635,1
,63,5,72745.0,0.625,11666666.666666666,14.30827268858282,3.5564726188421965,41492180.553158954,34.5,134.4,12,183.5553370705314,0
,63,6,16424.0,0.625,11666666.666666666,14.333506083483947,3.561970975591152,41556328.048563436,34.1,131.9,12,183.48435872681142,1
,63,7,19867.0,0.625,11666666.666666666,16.9392618757138,4.129765162718037,48180593.56504376,31.9,130.2,12,183.80015252764147,2

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_cni_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
64,,,304677.0,5.0,35000000.0,14.969300068134604,3.7005104848465304,340719091.39946806
,64,0,3313.0,0.625,11666666.666666666,16.928122102471022,4.127337806128436,48152274.40483175,43.7,143.6,12,183.1924253684002,2
,64,1,6331.0,0.625,11666666.666666666,14.763128318595399,3.6555856606219375,42648499.3739226,41.8,140.7,12,183.51980796816517,0
,64,2,46657.0,0.625,11666666.666666666,14.278081027792041,3.5498938559558857,41415428.31948533,38.5,140.7,12,183.73432244603094,1
,64,3,90560.0,0.625,11666666.666666666,13.332926651436654,3.343944717348047,39012688.369060546,36.2,139.0,12,183.8146724662094,0
,64,4,48780.0,0.625,11666666.666666666,13.037277426893748,3.279522751320148,38261098.76540172,35.8,136.7,12,183.23946611880635,1
,64,5,72745.0,0.625,11666666.666666666,14.30827268858282,3.5564726188421965,41492180.553158954,34.5,134.4,12,183.5553370705314,0
,64,6,16424.0,0.625,11666666.666666666,14.333506083483947,3.561970975591152,41556328.048563436,34.1,131.9,12,183.48435872681142,1
,64,7,19867.0,0.625,11666666.666666666,16.9392618757138,4.129765162718037,48180593.56504376,31.9,130.2,12,183.80015252764147,2

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_cni_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
65,,,304677.0,5.0,35000000.0,14.969300068134604,3.7005104848465304,340719091.39946806
,65,0,3313.0,0.625,11666666.666666666,16.928122102471022,4.127337806128436,48152274.40483175,43.7,143.6,12,183.1924253684002,2
,65,1,6331.0,0.625,11666666.666666666,14.763128318595399,3.6555856606219375,42648499.3739226,41.8,140.7,12,183.51980796816517,0
,65,2,46657.0,0.625,11666666.666666666,14.278081027792041,3.5498938559558857,41415428.31948533,38.5,140.7,12,183.73432244603094,1
,65,3,90560.0,0.625,11666666.666666666,13.332926651436654,3.343944717348047,39012688.369060546,36.2,139.0,12,183.8146724662094,0
,65,4,48780.0,0.625,11666666.666666666,13.037277426893748,3.279522751320148,38261098.76540172,35.8,136.7,12,183.23946611880635,1
,65,5,72745.0,0.625,11666666.666666666,14.30827268858282,3.5564726188421965,41492180.553158954,34.5,134.4,12,183.5553370705314,0
,65,6,16424.0,0.625,11666666.666666666,14.333506083483947,3.561970975591152,41556328.048563436,34.1,131.9,12,183.48435872681142,1
,65,7,19867.0,0.625,11666666.666666666,16.9392618757138,4.129765162718037,48180593.56504376,31.9,130.2,12,183.80015252764147,2

